 1.47910839e+02  1.47910839e+02  0.00000000e+00  1.47910839e+02 -9.49787438e-02  1.47910839e+02 -1.47614588e-01 
 1.51356125e+02  1.51356125e+02  0.00000000e+00  1.51356125e+02 -9.94041069e-02  1.51356125e+02 -1.51001523e-01 
 1.54881662e+02  1.54881662e+02  0.00000000e+00  1.54881662e+02 -1.04033203e-01  1.54881662e+02 -1.54463738e-01 
 1.58489319e+02  1.58489319e+02  0.00000000e+00  1.58489319e+02 -1.08875179e-01  1.58489319e+02 -1.58002739e-01 
 1.62181010e+02  1.62181010e+02  0.00000000e+00  1.62181010e+02 -1.13939571e-01  1.62181010e+02 -1.61620046e-01 
 1.65958691e+02  1.65958691e+02  0.00000000e+00  1.65958691e+02 -1.19236318e-01  1.65958691e+02 -1.65317198e-01 
 1.69824365e+02  1.69824365e+02  0.00000000e+00  1.69824365e+02 -1.24775778e-01  1.69824365e+02 -1.69095751e-01 
 1.73780083e+02  1.73780083e+02  0.00000000e+00  1.73780083e+02 -1.30568742e-01  1.73780083e+02 -1.72957278e-01 
 1.77827941e+02  1.77827941e+02  0.00000000e+00  1.77827941e+02 -1.36626449e-01  1.77827941e+02 -1.76903363e-01 
 1.81970086e+02  1.81970086e+02  0.00000000e+00  1.81970086e+02 -1.42960604e-01  1.81970086e+02 -1.80935609e-01 
 1.86208714e+02  1.86208714e+02  0.00000000e+00  1.86208714e+02 -1.49583392e-01  1.86208714e+02 -1.85055627e-01 
 1.90546072e+02  1.90546072e+02  0.00000000e+00  1.90546072e+02 -1.56507494e-01  1.90546072e+02 -1.89265043e-01 
 1.94984460e+02  1.94984460e+02  0.00000000e+00  1.94984460e+02 -1.63746107e-01  1.94984460e+02 -1.93565492e-01 
 1.99526231e+02  1.99526231e+02  0.00000000e+00  1.99526231e+02 -1.71312956e-01  1.99526231e+02 -1.97958617e-01 
 2.04173794e+02  2.04173794e+02  0.00000000e+00  2.04173794e+02 -1.79222314e-01  2.04173794e+02 -2.02446069e-01 
 2.08929613e+02  2.08929613e+02  0.00000000e+00  2.08929613e+02 -1.87489019e-01  2.08929613e+02 -2.07029505e-01 
 2.13796209e+02  2.13796209e+02  0.00000000e+00  2.13796209e+02 -1.96128490e-01  2.13796209e+02 -2.11710582e-01 
 2.18776162e+02  2.18776162e+02  0.00000000e+00  2.18776162e+02 -2.05156743e-01  2.18776162e+02 -2.16490963e-01 
 2.23872114e+02  2.23872114e+02  0.00000000e+00  2.23872114e+02 -2.14590412e-01  2.23872114e+02 -2.21372308e-01 
 2.29086765e+02  2.29086765e+02  0.00000000e+00  2.29086765e+02 -2.24446762e-01  2.29086765e+02 -2.26356274e-01 
 2.34422882e+02  2.34422882e+02  0.00000000e+00  2.34422882e+02 -2.34743708e-01  2.34422882e+02 -2.31444513e-01 
